sample 1 (baseline),1759764168934,108314624,5043180,9461760,796000,531000,,
sample 31 (ΔCPU user=46.49 ms/s, ΔCPU sys=61.33 ms/s),1759764199648,110952448,5516048,9461760,1812000,1546000,46.49,61.33
sample 32 (ΔCPU user=138.10 ms/s, ΔCPU sys=107.74 ms/s),1759764200669,110972928,5542368,9461760,1953000,1656000,138.10,107.74
sample 33 (ΔCPU user=30.48 ms/s, ΔCPU sys=14.75 ms/s),1759764201686,111104000,5549388,9461760,1984000,1671000,30.48,14.75
sample 34 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1759764202703,111104000,5551764,9461760,1984000,1671000,0.00,0.00
sample 35 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1759764203719,111104000,5554112,9461760,1984000,1671000,0.00,0.00
sample 36 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1759764204737,111104000,5556460,9461760,1984000,1671000,0.00,0.00
sample 37 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1759764205758,111108096,5559004,9461760,1984000,1671000,0.00,0.00
sample 38 (ΔCPU user=0.00 ms/s, ΔCPU sys=15.66 ms/s),1759764206780,111112192,5567848,9461760,1984000,1687000,0.00,15.66
sample 39 (ΔCPU user=13.97 ms/s, ΔCPU sys=13.97 ms/s),1759764207925,111276032,5576312,9461760,2000000,1703000,13.97,13.97
sample 40 (ΔCPU user=26.72 ms/s, ΔCPU sys=53.45 ms/s),1759764209085,111312896,5589160,9461760,2031000,1765000,26.72,53.45
sample 41 (ΔCPU user=44.05 ms/s, ΔCPU sys=29.05 ms/s),1759764210152,111374336,5602000,9461760,2078000,1796000,44.05,29.05
sample 42 (ΔCPU user=0.00 ms/s, ΔCPU sys=28.99 ms/s),1759764211256,111460352,5615072,9461760,2078000,1828000,0.00,28.99
sample 43 (ΔCPU user=90.20 ms/s, ΔCPU sys=75.65 ms/s),1759764212287,111534080,5642192,9461760,2171000,1906000,90.20,75.65
sample 44 (ΔCPU user=31.34 ms/s, ΔCPU sys=14.69 ms/s),1759764213308,111587328,5652512,9461760,2203000,1921000,31.34,14.69
sample 45 (ΔCPU user=30.60 ms/s, ΔCPU sys=62.19 ms/s),1759764214321,111673344,5671088,9461760,2234000,1984000,30.60,62.19
sample 46 (ΔCPU user=15.76 ms/s, ΔCPU sys=15.76 ms/s),1759764215336,111677440,5674736,9461760,2250000,2000000,15.76,15.76
sample 47 (ΔCPU user=0.00 ms/s, ΔCPU sys=14.75 ms/s),1759764216353,111681536,5678024,9461760,2250000,2015000,0.00,14.75
sample 48 (ΔCPU user=45.54 ms/s, ΔCPU sys=62.38 ms/s),1759764217363,111689728,5703480,9461760,2296000,2078000,45.54,62.38
sample 49 (ΔCPU user=14.83 ms/s, ΔCPU sys=13.90 ms/s),1759764218442,111722496,5714392,9461760,2312000,2093000,14.83,13.90
sample 50 (ΔCPU user=45.94 ms/s, ΔCPU sys=45.94 ms/s),1759764219465,111730688,5731448,9461760,2359000,2140000,45.94,45.94
