sample 1 (baseline),1760366183558,110059520,5069524,9199616,687000,546000,,
sample 23 (ΔCPU user=30.75 ms/s, ΔCPU sys=14.88 ms/s),1760366206731,112685056,5390116,9199616,1562000,1046000,30.75,14.88
sample 24 (ΔCPU user=61.64 ms/s, ΔCPU sys=61.64 ms/s),1760366207753,112828416,5411208,9199616,1625000,1109000,61.64,61.64
sample 25 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366208769,112828416,5421076,9199616,1625000,1109000,0.00,0.00
sample 26 (ΔCPU user=30.24 ms/s, ΔCPU sys=15.61 ms/s),1760366209794,112918528,5434564,9199616,1656000,1125000,30.24,15.61
sample 27 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366210812,112918528,5436940,9199616,1656000,1125000,0.00,0.00
sample 28 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366211838,112918528,5439288,9199616,1656000,1125000,0.00,0.00
sample 29 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366212854,112902144,5441860,9199616,1656000,1125000,0.00,0.00
sample 30 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366213871,112906240,5444208,9199616,1656000,1125000,0.00,0.00
sample 31 (ΔCPU user=0.00 ms/s, ΔCPU sys=14.81 ms/s),1760366214884,112906240,5446556,9199616,1656000,1140000,0.00,14.81
sample 32 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366215905,112906240,5448904,9199616,1656000,1140000,0.00,0.00
sample 33 (ΔCPU user=0.00 ms/s, ΔCPU sys=15.79 ms/s),1760366216918,112914432,5451252,9199616,1656000,1156000,0.00,15.79
sample 34 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366217935,112914432,5453628,9199616,1656000,1156000,0.00,0.00
sample 35 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366218952,112914432,5455976,9199616,1656000,1156000,0.00,0.00
sample 36 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366219969,112918528,5458324,9199616,1656000,1156000,0.00,0.00
sample 37 (ΔCPU user=14.85 ms/s, ΔCPU sys=0.00 ms/s),1760366220979,113717248,5567040,9199616,1671000,1156000,14.85,0.00
sample 38 (ΔCPU user=0.00 ms/s, ΔCPU sys=14.49 ms/s),1760366222014,113721344,5569388,9199616,1671000,1171000,0.00,14.49
sample 39 (ΔCPU user=0.00 ms/s, ΔCPU sys=15.73 ms/s),1760366223031,113721344,5571764,9199616,1671000,1187000,0.00,15.73
sample 40 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366224053,113721344,5574112,9199616,1671000,1187000,0.00,0.00
sample 41 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366225069,113721344,5576460,9199616,1671000,1187000,0.00,0.00
sample 42 (ΔCPU user=15.72 ms/s, ΔCPU sys=0.00 ms/s),1760366226087,113721344,5578808,9199616,1687000,1187000,15.72,0.00
sample 43 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366227111,113725440,5581156,9199616,1687000,1187000,0.00,0.00
sample 44 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366228121,113737728,5583588,9199616,1687000,1187000,0.00,0.00
sample 45 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366229137,113737728,5586132,9199616,1687000,1187000,0.00,0.00
sample 46 (ΔCPU user=15.81 ms/s, ΔCPU sys=0.00 ms/s),1760366230149,113737728,5588480,9199616,1703000,1187000,15.81,0.00
sample 47 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366231169,113737728,5590828,9199616,1703000,1187000,0.00,0.00
sample 48 (ΔCPU user=14.75 ms/s, ΔCPU sys=0.00 ms/s),1760366232186,113737728,5593176,9199616,1718000,1187000,14.75,0.00
sample 49 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366233202,113737728,5595552,9199616,1718000,1187000,0.00,0.00
sample 50 (ΔCPU user=0.00 ms/s, ΔCPU sys=0.00 ms/s),1760366234215,113737728,5597900,9199616,1718000,1187000,0.00,0.00
